Woreda,Kebele,School Name,Latitude,Longitude,School Type,Male Pupils,Female Pupils,Reason for Inventory,Water Supply Source,Water,Year Commisioned,Functionality_Status_of_Water_Supply,Yield,Type of Latrine,Sanitation,latrine_For_Boys_and_Girls_Separate,Number of Boy Pupils,Number of Girl Pupils,Are there Latrines for Disabled?,Latrine_Condition,Presence_of_HandWashingFacility,,hand_washing_in_use,availability_of_soap,Urinal_present_girls,Urinal_present_boys,Separate_latrine_for_tolitet_Staff
Negelle Arsi,S/Lenda,S/Lenda,7.381830697,38.7343674,Primary(1-8),387,233,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,387,233,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Danshe,Danshe,7.268415188,38.70510164,Primary(1-8),577,503,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,577,503,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Golba,Golba,7.378771025,38.7160475,Primary(1-8),72,54,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,72,54,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,k/ilala,k/ilala,7.312439845,38.65296988,Primary(1-8),315,287,,,No Service,,,,Simple Pit Latrine,Limited,Yes,315,287,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Seyo Maja,Seyo Maja,7.318605207,38.69792955,Primary(1-8),331,293,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,331,293,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Q/Warqa,Q/Warqa,7.342168261,38.65861869,Primary(1-8),90,87,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,90,87,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Bura Gara,Bura Gara,7.355552961,38.62123331,Primary(1-8),294,231,,,No Service,,,,Simple Pit Latrine,Limited,Yes,294,231,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Gode,Gode,7.171092722,38.80956522,Primary(1-8),752,695,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,752,695,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Urgo,Urgo,7.430721507,38.69054939,Primary(1-8),171,169,,,No Service,,,,Simple Pit Latrine,Limited,Yes,171,169,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Wacore,Wacore,7.222935944,38.81323931,Primary(1-8),454,409,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,454,409,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Jedala,Jedala,7.357310739,38.79131993,Primary(1-8),250,216,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,250,216,No,Dirty But Used,No Service,Yes,No,No,No,No,No
